pct,TCGA_logrank_p,TCGA_n_hi,TCGA_n_lo,TCGA_uni_hr,TCGA_uni_p,TCGA_mv_hr,TCGA_mv_lo,TCGA_mv_hi,TCGA_mv_p,HAN_logrank_p,HAN_n_hi,HAN_n_lo,HAN_uni_hr,HAN_uni_p,HAN_mv_hr,HAN_mv_lo,HAN_mv_hi,HAN_mv_p
0.2,0.003924299205340269,325,82,1.8006641816572635,0.004473503630171523,1.917877086586011,1.172858877276788,3.136142455426544,0.009447324554100411,0.05473283131973449,560,141,1.4699245563802181,0.05623574813347502,1.5271224628025124,0.9550811244296428,2.4417852648786256,0.07705406116456288
0.25,0.030322402546765534,305,102,1.4735063831627948,0.03139505224246409,1.5510610360665518,1.0337596281199681,2.3272241168666072,0.033976385942142674,0.12303081278444167,525,176,1.3118019588950032,0.1241778879738824,1.3077454085517797,0.8712851129738115,1.9628454889480766,0.19533721955431294
0.3,0.0017192460368553606,285,122,1.6952182081854212,0.001943775969003124,1.7332796472596679,1.1847630604409678,2.5357461216645434,0.00460635337921688,0.028519207519382833,490,211,1.4430788334682612,0.02941530753840856,1.4105090811914776,0.9610806505586043,2.070102927332121,0.07889024006196906
0.35,0.0058568080750590066,264,143,1.5402042329822558,0.006243151850173553,1.5714558037485995,1.1055159738060614,2.2337744561331614,0.01176879844859562,0.012907617950092085,456,245,1.4889761367935,0.0135066748709841,1.6057458345684503,1.1053280772593368,2.3327188897862126,0.012935431629321894
0.4,0.007960213311030624,244,163,1.4892380652750787,0.008376846680470852,1.4782651858340998,1.0607231388847675,2.060168086789068,0.020995439043109906,0.040507299387982316,420,281,1.365544171527217,0.04130925654450065,1.4580413004992059,1.0209929167578957,2.0821735381985214,0.03805682158398694
0.45,0.05488574745074167,224,183,1.3190757437976144,0.05571660623387265,1.3315117792020241,0.9724347269400516,1.8231800747517286,0.07415819592394063,0.013970197937599231,386,315,1.4389357037277184,0.01449181169725398,1.5715009442606995,1.1082982510264583,2.228294789353875,0.011177896073758473
0.5,0.039587841073904756,204,203,1.338456756085354,0.04032736780825128,1.3543388502875202,0.9965800090962951,1.8405283114814,0.05261420687802588,0.01984762909238781,351,350,1.402453897922345,0.02042263198361774,1.447322601492024,1.0330681399681543,2.0276907512162876,0.03162870592556883
0.55,0.019911228353087094,183,224,1.3844146388891503,0.02051021169283752,1.3280164184869456,0.9829494114337826,1.7942201167793295,0.06461126071418219,0.027654965338618158,315,386,1.3739004512612114,0.02828987104783004,1.4476721379610258,1.033946139107172,2.0269475746951024,0.03121190792129748
0.6,0.051819222981145746,163,244,1.3129631487244307,0.052700711738414445,1.2424056042352252,0.9217528672480942,1.6746047018475239,0.15415010324815254,0.02547265272388228,281,420,1.381815327692133,0.026091097239131805,1.4117857463608945,1.0097517347214717,1.9738901406072575,0.04372516897586464
0.65,0.09313988984027091,143,264,1.270709336295002,0.09409138126975419,1.2620649651693976,0.9343747720803526,1.7046778486556329,0.12915828727834622,0.0015334253932115746,246,455,1.5842167444478292,0.0016807118943510705,1.6047921514483394,1.1492673821566457,2.2408691739927646,0.005491583071889101
0.7,0.3262904011234359,122,285,1.1568184893362585,0.32701839515027653,1.1371199829902912,0.8353608904172823,1.5478841187668426,0.41411725162675106,0.0013108917763477784,211,490,1.6112132434798863,0.0014524503574224878,1.6298822810091922,1.164802291608539,2.2806585023791457,0.004372664996184355
0.75,0.36786831620937566,102,305,1.1525005120232208,0.36861527250347637,1.1531224312809232,0.8343043759714082,1.5937724646056468,0.3882228692863646,0.0003271225100861326,176,525,1.7315535431836238,0.00038658598698541153,1.8220412491110045,1.2989815542993557,2.5557209049459066,0.0005106550465464609
0.8,0.8489330293741155,82,325,0.9668589769640695,0.8484887739409881,0.9608996459100118,0.672163724880094,1.3736655153098254,0.8268458881938028,0.0016591762176917761,140,561,1.670616409811532,0.001857129315879932,1.8488577788083185,1.2893610085641567,2.6511388692191407,0.0008317432000100379
