source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Endothelial,Mast,GRN,TNFRSF1B,6.0054383,1.0,28.284546,-0.38924498157172993,-2.5105965420693988,0.010033635,0.5573635,1.0,0.41351122733780654
Dendritic,Endothelial,LAMA5,DAG1,5.6323614,0.0,29.609486,0.4162185223732538,-0.729956652695817,0.016880065,0.5630029,0.062344383298077406,0.41351122733780654
Dendritic,T cell,SPN,SIGLEC1,5.050853,0.0,16.552015,0.4951574381350814,-0.9626266115169413,0.0169048,0.4906423,0.10226945021579126,0.41355968087932843
Malignant,Macrophage,FN1,SDC1,5.6322565,0.213,31.721186,0.020210098407812047,-3.721507228862232,0.015986761,0.5714582,1.0,0.41356524279018614
T cell,Fibroblast,PTDSS1,JMJD6,5.6322007,1.0,31.56921,-0.13288164996205576,-0.445977467869505,0.015099736,0.57087004,1.0,0.413619260945875
Mast,T cell,IGFL3,IGFLR1,2.1476343,1.0,4.4168816,-0.22060465631417112,-0.30757644085390257,0.014169916,0.33226198,1.0,0.41364427202799003
T cell,Mast,DLL1,NOTCH2,4.391883,1.0,15.478385,-0.25891814739812935,-1.8170062035767376,0.010924896,0.4822657,1.0,0.41368051381036364
Macrophage,Endothelial,FASLG,TNFRSF10B,4.541394,0.0,15.478276,0.568665209915874,0.18083219180763477,0.01779741,0.48226485,0.034560388106412175,0.4137208921438952
Fibroblast,Malignant,LRRC4B,PTPRF,5.9360647,0.0,28.280502,1.341847588579764,2.2611569102898232,0.0336798,0.5573458,0.000552091552470841,0.413727353345998
B cell,Malignant,PLAT,LRP1,4.518793,1.0,15.4782295,-0.4313476778516368,-2.9144567010187625,0.010333097,0.4822645,1.0,0.413761129905289
Dendritic,Malignant,IGFBP7,MPIG6B,2.1057591,1.0,4.4171147,-0.5588366958002118,-4.0968676383176135,0.006988993,0.33226782,1.0,0.4137810872554184
Dendritic,Fibroblast,MFGE8,ITGB5,5.8310704,0.0,28.279726,0.3788604050323214,-0.008706943129418221,0.020101227,0.55734247,0.023323209409964296,0.41378137961299455
Endothelial,Dendritic,HBEGF,CD9,5.631751,0.0,31.670267,0.26507761943960945,-0.8997380388973379,0.0186508,0.5712615,0.08928788849593762,0.41378137961299455
Endothelial,Mast,COL18A1,KDR,5.0634646,0.0,16.553812,0.6261025310628526,-0.421779439685263,0.02130045,0.49065584,0.030616765512451766,0.4138015134843914
Dendritic,Dendritic,HLA-E,KLRK1,5.3912005,1.0,15.478024,-0.14515925622168296,-0.5398121928211592,0.013709442,0.4822628,1.0,0.4138015134843914
T cell,Malignant,CD99,CD99L2,5.631706,0.0,30.501635,0.09612678023971363,-0.4835081657449787,0.016129399,0.56665117,0.12325316126105802,0.41383540858262013
Macrophage,Mast,HLA-B,CD8A,5.815278,1.0,16.55412,-0.4365357859874647,-3.7445732169847044,0.0062964144,0.49065816,1.0,0.4138418996910643
Endothelial,T cell,MELTF,TFRC,4.540043,1.0,16.554262,-0.43019753387068826,-1.531701543450606,0.011388534,0.49065924,1.0,0.41388214529793566
T cell,Endothelial,CCL5,CCR3,5.3485756,0.0,15.477715,0.7140712936805332,2.025125921906004,0.021256493,0.48226035,0.02113403294930672,0.41388214529793566
Mast,Mast,TXLNA,STX3,5.631656,0.0,31.52436,0.22705886381003054,0.1485471213920837,0.018632652,0.57069594,0.05966430250615952,0.41388948824140465
T cell,Malignant,HLA-G,KIR2DL4,2.1103466,1.0,4.4184017,-0.28417657032785104,-1.1669908142455838,0.01233375,0.33230013,1.0,0.41391789765785
T cell,Fibroblast,CCL5,CCR3,5.348491,0.0,15.476199,0.7139516072805476,2.0249404726064477,0.021254413,0.4822481,0.02113403294930672,0.41392253675068924
Mast,Macrophage,APOE,LDLR,5.63157,0.0,31.527151,0.3410384831136763,-1.4279150463038737,0.019177595,0.5707067,0.2439137770654133,0.41394352261817763
Macrophage,Malignant,COL14A1,CD44,5.2078424,1.0,16.555265,-0.30749673834593044,-2.7629074334759727,0.010753345,0.49066684,1.0,0.41396278758520777
Endothelial,B cell,ADAM9,ITGA6,5.6314034,0.0,31.161108,0.12665470425643352,-1.6477296508647905,0.016399702,0.5692756,0.34645095582050306,0.4139975596970693
B cell,Malignant,JAG1,NOTCH1,4.4034176,1.0,16.558096,-0.49032557144241523,-2.892417140641275,0.008475292,0.49068817,1.0,0.4140031842843841
Fibroblast,T cell,CALM3,EGFR,4.653184,1.0,16.559198,-0.2556849154249744,-2.624175900387663,0.009777165,0.4906965,1.0,0.41404358361155835
Malignant,B cell,TNFSF12,TNFRSF8,2.1021981,1.0,4.418848,-1.2940341993636895,-2.6792714904106703,0.0060319453,0.3323114,1.0,0.4140547336023323
Endothelial,B cell,TIMP2,ITGB1,5.631319,0.995,30.744047,-0.33443671527481583,-1.7753782944380858,0.014694245,0.56762284,0.7821345030965111,0.41410568995682884
B cell,Endothelial,FST,BMPR2,4.975239,0.0,16.560572,0.6066204121480845,0.002798738603210893,0.014873472,0.49070686,0.1504515596797722,0.4141242468669345
Macrophage,Fibroblast,PGF,NRP1,4.4291778,0.0,16.562168,0.21063808233165315,-1.393045628741666,0.016704472,0.4907189,0.22998733084998937,0.4141645107767014
Malignant,Macrophage,SHANK1,SSTR2,2.147007,1.0,4.418861,-0.28796654853712156,-0.6046397902380403,0.012447493,0.3323117,1.0,0.41419153435395484
Fibroblast,Dendritic,APP,ADRA2A,5.327054,0.0,16.562277,0.1459263159363191,-0.6737315877293981,0.015507613,0.49071974,0.10963733560551965,0.4142049205980821
Malignant,Macrophage,CD99,PILRB,4.5056124,0.92,15.471673,-0.14948043501730954,-0.32591194366918685,0.014841117,0.48221156,0.666638219486672,0.4142049205980821
Mast,Macrophage,ADAM17,IL6R,5.63113,0.0,29.8962,0.6177453693122537,0.6161000076465912,0.018776298,0.56418794,0.02113403294930672,0.4142137830315197
Malignant,T cell,PSEN1,NOTCH1,5.630798,0.998,31.331627,-0.04041939215011281,-0.6550188882105363,0.015060019,0.56994456,0.8147444710168602,0.41426788162435274
Fibroblast,Endothelial,SPP1,CD44,5.6307535,1.0,31.121716,-0.7511710037928626,-3.770320206859217,0.012508656,0.56912047,1.0,0.4143219349171824
Macrophage,B cell,WNT3A,FZD2_LRP5,2.1044226,1.0,4.4206996,-0.4349098312022559,-1.7808043183918973,0.010051374,0.33235782,1.0,0.4143283302808361
Macrophage,Fibroblast,RGMA,BMPR2,4.317656,0.0,16.500288,0.32100396745871396,-0.9603540736993881,0.018702336,0.49025118,0.10168693943654739,0.4143662994904089
T cell,Macrophage,SPP1,PTGER4,4.401455,0.675,16.565872,0.453712206649755,-2.113367754035255,0.013233137,0.49074686,0.6500976191037963,0.4143662994904089
Macrophage,Dendritic,CALR,ITGA3,5.91263,1.0,28.261713,-0.46754264501334586,-2.5818538975653516,0.009608696,0.55726385,1.0,0.41437599091094
Dendritic,T cell,CALM3,PDE1B,4.320712,1.0,16.566942,-0.5365157532771427,-1.2571135501514852,0.012737653,0.49075493,1.0,0.41440672243612553
Malignant,Macrophage,TNFSF10,TNFRSF10A,5.6306696,0.0,29.329851,0.50482338443098,0.1862223590723615,0.019691741,0.5618353,0.02113403294930672,0.4144300496054556
T cell,Mast,HLA-A,ERBB2,5.7855263,1.0,16.567024,-0.2612468923162333,-2.3877285579365273,0.006682937,0.4907555,1.0,0.41444700465294826
Macrophage,Dendritic,EFNA5,EPHA2,4.3771157,0.0,15.466697,0.2298136893294583,-0.4223050458881601,0.017249532,0.48217142,0.05876400493152754,0.41444700465294826
Endothelial,Dendritic,EGF,EGFR_ERBB2,2.1458495,1.0,4.420888,-0.6690985762799768,-2.8888633582597416,0.008684088,0.33236253,1.0,0.41446512138306113
Fibroblast,Macrophage,IL16,CCR5,5.6306453,0.0,30.295044,0.6388724344206805,0.814548069925618,0.026721094,0.5658165,0.02113403294930672,0.4144841590136555
Fibroblast,T cell,SPON2,ITGAM,5.037779,0.0,16.567657,0.5495346407656112,1.095353315414398,0.017286344,0.49076033,0.045277198921192995,0.4144874328471318
Mast,Endothelial,LAMA4,DAG1,4.712157,0.0,16.567743,0.459577854677761,-1.429218652807605,0.014321428,0.490761,0.2444744318223569,0.4145277202939792
Fibroblast,Mast,CD14,ITGB1,5.6305532,0.012,31.68277,-0.08937079677863358,-2.2291724776549273,0.016787276,0.57130986,0.741582615901098,0.41453822311157473
Macrophage,Fibroblast,PTPN6,CD300LF,4.8328705,0.0,15.465155,0.3112967623739805,-0.8994712509780893,0.013283631,0.482159,0.312015987182482,0.4145681537369701
