,Proliferation,ECM/CAF,TGF-β/myofib,Cytotoxic-T,B/plasma/TLS,Vascular,Myeloid,Keratin/SCC
Malignant,4.529951204372304,2.007695445406236,3.2806906642930374,1.0803738472059472,1.4905441806456934,0.6521686936578794,0.9988087708186192,7.8044332978218085
B cell,1.7370547540767913,0.6412189112900678,1.3812745406079137,1.5099036865980486,4.148404998602124,0.4819025889590026,0.6790383415301768,2.1660637152489897
Dendritic,1.1225388801336489,1.2751806926816458,1.812018270693313,3.6287955676656547,2.062015493189406,0.9204577723439294,2.4274003248295513,3.952157828677446
Endothelial,2.623899585173066,3.6472463831838673,3.9852013751645643,1.5980716121423482,1.9834866284410513,5.6143191500333325,1.8314560063734953,4.418980920533871
Fibroblast,2.315892651513574,7.721178614776285,6.0009880108066955,2.012140087314072,2.370386103357859,0.8397942157940835,2.2438586889215957,4.218156973830468
Macrophage,2.9731920846826614,2.3042740331182165,2.745846667410067,3.185021796472747,1.737027244554726,1.3407681049470648,5.806230463163025,4.2310670603714176
Mast,2.1505067857148217,1.717938118440942,2.7263611132701238,0.9241417886793201,1.9272026029504126,,0.9294389555208618,2.4115281256918046
T cell,2.0524138678465746,0.6985218145426181,1.7015430576358699,6.347397648152851,1.8335302403911886,0.36592158350620024,0.9058105304913507,2.390575623630901
