gene,xcorr,resolvability
A1BG,0.5285289111946311,0.4714710888053689
A1BG-AS1,0.517266787056412,0.48273321294358795
A2M,0.5153181036668164,0.4846818963331836
A2M-AS1,0.5548011208219188,0.4451988791780812
A2ML1,0.5240243779761451,0.4759756220238549
AAAS,0.378610816651157,0.621389183348843
AACS,0.35391273934926304,0.646087260650737
AAGAB,0.2745686768487628,0.7254313231512373
AAK1,0.34782518233571735,0.6521748176642826
AAMDC,0.507657229634268,0.49234277036573204
AAMP,0.2851405643991062,0.7148594356008938
AAR2,0.28999674247045604,0.710003257529544
AARS1,0.3137824069708586,0.6862175930291414
AARS2,0.36829922161996365,0.6317007783800364
AARSD1,0.5014866694275822,0.49851333057241776
AASDH,0.3787496196372168,0.6212503803627831
AASDHPPT,0.3639713496501957,0.6360286503498043
AASS,0.6013930876340184,0.39860691236598156
AATF,0.28739760001190007,0.7126023999880999
AATK,0.4692335490669523,0.5307664509330476
ABAT,0.5680764690041542,0.4319235309958458
ABCA1,0.46927804925612043,0.5307219507438796
ABCA12,0.4723483435809612,0.5276516564190388
ABCA2,0.5586204475590161,0.4413795524409839
ABCA3,0.7731265766280038,0.22687342337199623
ABCA4,0.6654961630702019,0.3345038369297981
ABCA5,0.49375803981508526,0.5062419601849147
ABCA6,0.5619467252067157,0.43805327479328426
ABCA7,0.47614643030932974,0.5238535696906703
ABCB1,0.6033523104020527,0.3966476895979473
ABCB10,0.39671930936830385,0.6032806906316961
ABCB7,0.32108613699009375,0.6789138630099063
ABCB8,0.3049119215990816,0.6950880784009184
ABCB9,0.3903917164674827,0.6096082835325173
ABCC1,0.5088649253760066,0.4911350746239934
ABCC10,0.3424509490973183,0.6575490509026817
ABCC11,0.5160952974110842,0.4839047025889158
ABCC4,0.48462667954819544,0.5153733204518045
ABCC5,0.5924267981733594,0.4075732018266406
ABCC6,0.5903894688401904,0.4096105311598096
ABCD1,0.5121917974736009,0.4878082025263991
ABCD3,0.33798794355243444,0.6620120564475656
ABCD4,0.33886659074258724,0.6611334092574128
ABCE1,0.3279021366366318,0.6720978633633682
ABCF1,0.2805379218022738,0.7194620781977261
ABCF2,0.323150970307844,0.676849029692156
ABCF3,0.3233556555850165,0.6766443444149834
ABCG1,0.43159654257552965,0.5684034574244703
ABCG4,0.5216551396463599,0.4783448603536401
ABHD10,0.38709994086197447,0.6129000591380256
ABHD11,0.5433326501931462,0.45666734980685375
ABHD12,0.39298064740640776,0.6070193525935923
ABHD13,0.29588816833815407,0.704111831661846
ABHD14A,0.4420638323894569,0.5579361676105431
ABHD14B,0.4300950935908726,0.5699049064091274
ABHD15,0.2997021126960005,0.7002978873039996
ABHD16A,0.4908453534756388,0.5091546465243613
ABHD17A,0.3353583812713623,0.6646416187286377
ABHD17B,0.3510836437344551,0.6489163562655449
ABHD17C,0.45470136909612585,0.5452986309038741
ABHD18,0.3865469497229372,0.6134530502770628
ABHD2,0.49140459139432224,0.5085954086056778
ABHD3,0.4181644394993782,0.5818355605006218
ABHD4,0.44601248257926535,0.5539875174207347
ABHD5,0.3941587044724396,0.6058412955275604
ABHD6,0.38635741280657904,0.613642587193421
ABHD8,0.471104697989566,0.528895302010434
ABI1,0.3367888501712254,0.6632111498287746
ABI2,0.43447374925017357,0.5655262507498264
ABITRAM,0.35079941313181606,0.6492005868681839
ABL1,0.34032837407929556,0.6596716259207045
ABL2,0.2681195117932345,0.7318804882067655
ABLIM1,0.4387438643191542,0.5612561356808459
ABR,0.37477911689451765,0.6252208831054824
ABRACL,0.4287892569388662,0.5712107430611337
ABRAXAS1,0.4756454612527575,0.5243545387472426
ABRAXAS2,0.32476467665817055,0.6752353233418295
ABT1,0.3375927744699376,0.6624072255300624
ABTB1,0.35919430905154776,0.6408056909484523
ACAA1,0.3430667937334095,0.6569332062665905
ACAA2,0.5169566901666778,0.4830433098333222
ACACA,0.35568209019090447,0.6443179098090955
ACACB,0.6250105872750282,0.37498941272497177
ACAD8,0.39875924587249756,0.6012407541275024
ACAD9,0.3122968287872417,0.6877031712127584
ACADM,0.42986609627093586,0.5701339037290641
ACADS,0.45306464391095297,0.5469353560890471
ACADSB,0.5473977199622563,0.4526022800377437
ACADVL,0.3952850156596729,0.6047149843403271
ACAN,0.5492285859904119,0.4507714140095881
ACAP1,0.4368863930659635,0.5631136069340366
ACAP2,0.4506029726139137,0.5493970273860863
ACAP3,0.3603034360068185,0.6396965639931815
ACAT1,0.3922435918024608,0.6077564081975392
ACAT2,0.48365675125803265,0.5163432487419674
ACBD3,0.3078430710094316,0.6921569289905685
ACBD4,0.5087231562605926,0.4912768437394074
ACBD5,0.3599416334182024,0.6400583665817976
ACBD6,0.33451540262571405,0.665484597374286
ACCS,0.5255537469472203,0.47444625305277965
ACD,0.32850207574665546,0.6714979242533445
ACER1,0.6547999009490013,0.3452000990509987
ACER3,0.35382565004484995,0.64617434995515
ACIN1,0.3235574660024473,0.6764425339975527
ACKR2,0.5369185730814934,0.4630814269185066
