pair,cat,raw,pct,lig_expr,rec_expr,lig_pct,rec_pct,rank_raw,rank_pct,shift
CD274(Mali)->PDCD1(T ce),Checkpoint,3.951959542029848,0.7208609164131212,2.6355368449592165,5.26838223910048,0.5054492613223541,0.9362725715038882,14,14,0
CD274(Macr)->PDCD1(T ce),Checkpoint,4.122428373901972,0.7762737813675176,2.9764745087034643,5.26838223910048,0.6162749912311469,0.9362725715038882,13,11,2
PDCD1LG2(Macr)->PDCD1(T ce),Checkpoint,4.2890544016339955,0.8109984393822492,3.3097265641675113,5.26838223910048,0.6857243072606103,0.9362725715038882,12,10,2
CD86(Macr)->CTLA4(T ce),Checkpoint,6.324755882588881,0.9829867561771582,6.809763326183671,5.83974843899409,0.9931252192213259,0.9728482931329906,3,1,2
LGALS9(Mali)->HAVCR2(T ce),Checkpoint,4.384501368210074,0.7604429132277896,2.894091484025121,5.8749112523950275,0.5462581738919835,0.9746276525635956,11,12,-1
CXCL9(Macr)->CXCR3(T ce),T-recruit,5.708961940649011,0.959029424465976,6.152712583250944,5.2652112980470775,0.9821816906348649,0.9358771582970872,5,5,0
CXCL10(Macr)->CXCR3(T ce),T-recruit,5.11387261364609,0.9337400523158533,4.962533929245103,5.2652112980470775,0.9316029463346195,0.9358771582970872,9,7,2
CXCL11(Mali)->CXCR3(T ce),T-recruit,3.9037542452264047,0.7139424541788173,2.5422971924057314,5.2652112980470775,0.49200775006054737,0.9358771582970872,15,15,0
CCL5(T ce)->CCR5(Macr),T-recruit,6.505953327310937,0.9787123870295037,7.634293495679186,5.377613158942688,0.9988137603795967,0.9586110136794107,1,2,-1
TGFB1(Fibr)->TGFBR2(T ce),Exclusion/CAF,5.180826763939999,0.9261190922606226,5.575354100231613,4.786299427648386,0.9707962443604439,0.8814419401608014,8,8,0
CXCL12(Fibr)->CXCR4(T ce),Exclusion/CAF,6.362487616464497,0.9714455710900247,5.122627741481578,7.602347491447415,0.9442750884038532,0.9986160537761961,2,4,-2
CXCL12(Fibr)->CXCR4(Mali),Exclusion/CAF,3.5190792175036463,0.6776655170767147,5.122627741481578,1.9155306935257148,0.9442750884038532,0.41105594574957616,16,16,0
CSF1(Mali)->CSF1R(Macr),Myeloid-recruit,5.524762712635455,0.7509111367109423,2.6168936908457963,8.432631734425113,0.5026640833131509,0.9991581901087337,6,13,-7
CCL2(Fibr)->CCR2(Macr),Myeloid-recruit,4.555114649324899,0.886047025858675,4.516501461604522,4.593727837045278,0.8764784782343616,0.8956155734829884,10,9,1
VEGFA(Mali)->KDR(Endo),Angiogenesis,5.192440703887316,0.9404335807417517,5.02935826334925,5.355523144425381,0.9304310971179462,0.950436064365557,7,6,1
VEGFA(Macr)->FLT1(Endo),Angiogenesis,5.8235450381998515,0.9756350788761616,5.619048464220195,6.028041612179507,0.9687127323746054,0.9825574253777177,4,3,1
