cell,rule,pct,n_cand,TCGA_mv_hr,TCGA_mv_p,HAN_mv_hr,HAN_mv_p
B cell,联合最显著,0.55,5,0.6041311869329798,0.0014356041592127051,0.5784039199405658,0.0011897100465656128
B cell,maximin,0.55,5,0.6041311869329798,0.0014356041592127051,0.5784039199405658,0.0011897100465656128
Fibroblast,联合最显著,0.3,5,1.7332796472596679,0.00460635337921688,1.4105090811914776,0.07889024006196906
Fibroblast,maximin,0.35,5,1.5714558037485995,0.01176879844859562,1.6057458345684503,0.012935431629321894
T cell,联合最显著,0.8,3,0.6091912792211547,0.03536931557608757,0.49012266726428944,0.004312037075780259
T cell,maximin,0.8,3,0.6091912792211547,0.03536931557608757,0.49012266726428944,0.004312037075780259
