,0
COL1A2,0.9007578258643572
COL6A3,0.8739942377121246
SPARC,0.8703814843886567
POSTN,0.8609856522337843
FN1,0.8547196777589195
CCR5,0.8524775063984572
CSF1R,0.8523893115718613
COL3A1,0.8523177760350603
IGHV3-21,0.8500316351414965
GASK1B,0.8460673832812339
DOCK8,0.8452462113625971
PTPRC,0.8426830734013603
VCAN,0.8419249394608799
HAVCR2,0.8393746244818902
FSTL1,0.8339846468280079
MS4A6A,0.8333228087082991
LRRC25,0.8299141683327552
LCP2,0.8298634370152703
CD163,0.8293818301056188
TLR8,0.8275649924476459
IGLV3-25,0.8220315179192802
CYBB,0.821658601417411
IGLV1-40,0.8196067829368395
CTSS,0.819593965777008
CD53,0.8188483995550953
MXRA5,0.8183951813301904
LAIR1,0.8181645386824884
IKZF1,0.8177747524215673
FCGR3A,0.8170697344218093
MNDA,0.8168950679457256
C1QA,0.8163617469829254
IGHV1-18,0.8158616103585168
DOCK2,0.8157557080057125
SASH3,0.8135132932418657
C1QC,0.8120575555317279
CYTIP,0.8072507692626354
NCKAP1L,0.8068315903708004
IL10RA,0.8065669378059614
DOCK10,0.8050107435823814
FPR3,0.8041118657110351
C3AR1,0.8026105040555747
TNFAIP8L2,0.8015914620455192
VSIG4,0.800909777951265
MPEG1,0.8002721141626029
CD3E,0.7990720879608103
COL6A1,0.7980710153260894
PLVAP,0.7973754289817446
IGKV4-1,0.7963979117885281
IGKV3-11,0.7938187604256984
WDFY4,0.7932014409542557
CD86,0.7930495480683192
SNX20,0.7910958659065633
LAPTM5,0.790258491900755
SULF1,0.7900980089027753
PLEK,0.7894405770936088
ARHGAP15,0.7890166179336582
CD14,0.788065551765216
FOLR2,0.7869850886927211
IGHV1-3,0.7868565725991132
COL5A1,0.7840984469371995
IGLV2-14,0.7840177580216863
SH2D1A,0.7837585044687725
FCGR1A,0.7833436465255539
TAGAP,0.7829398097969835
MMP2,0.782556193363255
COL6A2,0.7815494025600506
IGHV3-23,0.7808683519355994
AIF1,0.7807473904604583
IGKV3-15,0.7793011233405611
ADAMTS2,0.7790585564754675
IGHG1,0.7782526071922901
PIK3AP1,0.7781507303951137
GAB3,0.7763876155639092
IGHG2,0.7749803698096104
COL12A1,0.773911694902454
IL21R,0.7732009559627332
IGHV3-73,0.7728193438323722
IRF8,0.7722817453569857
FAP,0.7715726037513352
IGHV3-15,0.7710763552256177
TIGIT,0.7704217199576024
LYZ,0.7703578004458383
ICOS,0.7702524192011039
IGHV3-49,0.7699740796067973
TNFRSF1B,0.76902564500489
COL5A2,0.7689532397081548
RASSF4,0.7683712054474483
CDH11,0.767600173564788
CST7,0.766602309205312
PTPN22,0.7649160154866341
IGKV1-16,0.764752912032968
C1QB,0.7630088130936885
PDGFRB,0.761908027747857
TRAC,0.7618923024350001
CCR7,0.7614163411405331
IGLC2,0.7612647053194511
FGR,0.7608636819615002
IGKV3-20,0.760313285970121
IGKV1-6,0.759615980265819
P2RY10,0.7595253851389993
CD28,0.758641105755184
HK3,0.7584545550523591
COL11A1,0.7581065956500803
IGKC,0.7579594517912527
SLAMF8,0.7574277431255086
CD3G,0.7568352111345211
NCF4,0.7566890722877246
HLA-DQA1,0.7555677786400804
LILRB1,0.7547648399837957
BIN2,0.7544056837828234
IGHV6-1,0.753983689707491
FCER1G,0.7539666400145792
ADAM12,0.753395287645848
NOX4,0.7509506950669207
ARHGAP18,0.7491956142409621
ZBP1,0.7484267757861592
CD8A,0.7480191617811527
SLAMF7,0.7479513298861558
SLA,0.7476715025873009
LILRB2,0.7472743486974991
ST8SIA4,0.7470495294537807
SAMSN1,0.7466625340720526
IGHV3-7,0.7461545321488423
SIRPG,0.7452961344935324
ITGAL,0.7450100320859457
TYROBP,0.7445132557113426
HLA-DPB1,0.7440805316693437
MRC1,0.7437931544044221
LAX1,0.7425297979520924
TESPA1,0.7422286959767957
CD84,0.7415765535417997
IFNG,0.7408465341806667
ARHGEF6,0.740266366736844
TRAT1,0.7401576729454368
MMP14,0.7398249523105466
AEBP1,0.7397257066580291
HSH2D,0.7389671606624083
IGLV2-23,0.7374453620489064
MZB1,0.7356093903213249
IGKV1-5,0.735276417553469
IGLV2-11,0.7341403636039312
GPR171,0.7328939554144676
NRP1,0.7328735679896915
IGHV2-26,0.7318568158957164
CD300LF,0.7311541423579624
IGLV3-10,0.7307630423529742
MS4A2,0.730494887891352
TNFSF13B,0.730064825741765
IGHV4-34,0.7296982198142383
HLA-DMB,0.7293003685541437
NID2,0.7284139518767903
CD48,0.7277319394190778
IGHV1-2,0.7272346422121947
HLA-DPA1,0.7265334853404638
IGHV4-39,0.7249438977401762
IGLV3-19,0.7243166895528349
SLAMF6,0.7236605710886576
RCSD1,0.7233770288782043
HCK,0.7232009497913433
HLA-DOA,0.7228753771961279
CCL4,0.7228278429687918
LINC01614,0.7225456182067688
CD96,0.7216508359567171
CD74,0.7202518763679246
LRRC32,0.7200720231677298
ANGPTL2,0.7199341588629696
IQGAP2,0.7189326397904982
CTHRC1,0.718746307653115
FCGR2A,0.7183150485516421
HLA-DRA,0.7183117114594806
IGLV3-1,0.7177557700738281
IGLV7-46,0.7161058776515878
IGKV1D-8,0.7159945523106612
ANGEL1,0.7157971546289368
IGHV4-28,0.7141366938842688
IGLV2-8,0.7140082607797166
TRBC2,0.7138040730362502
DAB2,0.7136585487994962
ZC3H12D,0.712642751935975
IGLV3-21,0.7123840914364604
FLT1,0.712365128154991
FBN1,0.7111243077971943
RAB20,0.71082223852151
COL10A1,0.7106142782822529
MRAS,0.7091869622809545
DERL3,0.7087687851633332
TLR7,0.7082334821894476
JAML,0.7072264170028619
MYO1F,0.7062941553828769
LY86,0.7061700871353703
ITGB2,0.7060163097367306
CCR1,0.7043595007560268
IGHV3-69-1,0.7042615078280078
GCSAML,0.704040247034578
IGKV1-12,0.7040081521194141
IGHV3-48,0.7040053965254228
DACT1,0.7034902831822031
BTK,0.7024804647883485
VIM,0.7024265645168586
SFRP2,0.7023901540085824
CD300A,0.7016806040496786
THBS2,0.7015957308885921
THEMIS2,0.7013781023181931
DCN,0.7013680843620003
IGHM,0.7011747499595702
LPXN,0.701133357936808
CD79A,0.7004660460000424
IGHV3-74,0.6992023341317506
SIGLEC9,0.6970414663069632
F13A1,0.6959021227996153
IGFBP7,0.6957845433182384
IL2RB,0.6949930319815247
IGHV3-11,0.6948630457372871
GPSM3,0.6932647852610527
ANKRD44,0.6929286775888892
AOAH,0.6924551383124217
SLAMF1,0.6923281052465379
IL12RB1,0.6920469595371966
SLCO2A1,0.6912139805263662
LRRC15,0.6911364156726563
CD80,0.6907720169093801
OLFML3,0.6906663522302803
COL8A1,0.6903850257986311
ARHGDIB,0.6903559568796387
NLRC3,0.689777893844137
MMP11,0.6897401964707534
HLA-DQB1,0.6893758444059739
CYRIA,0.6890600967659498
C16orf54,0.6883110624555155
HLA-DMA,0.6883036031186434
IGHV1-46,0.6874936752028784
CCL18,0.6874614107352114
IGKV1-27,0.6869893835173237
MYCT1,0.6868034102726734
CTSK,0.6865490987345976
FBLN2,0.6857276423271056
LUM,0.6856214930228806
SIGLEC10,0.6848591522608926
BICC1,0.6845336062869358
ETS1,0.6844578088654012
PLA2G7,0.6842433364022208
PCOLCE,0.6838635798933477
SERPINA1,0.6837743258566343
PLPP4,0.6835113498925266
FPR1,0.6830239486192444
NLRP3,0.682746928757425
IGKV1-39,0.6820758322624741
CRISPLD2,0.6817617679345006
LRRC17,0.680832394842561
SH2B3,0.6806260411217017
GZMK,0.679264569248049
ELK3,0.6785369433458724
ZNF831,0.6775599169594199
TNFAIP6,0.6774141911978264
IGHV4-31,0.6769780175016564
IGHV2-70,0.6758461222400096
GPR65,0.675056495147332
ELMO1,0.6750495916525666
ISLR,0.6747464652552813
GPX8,0.6741060090652579
IL2RA,0.6739609858286495
IGHG4,0.6734485749331062
IGHV4-61,0.6731320493706543
LMCD1,0.6730343131190271
ITK,0.6726637275573235
CCL3,0.6726598177954768
IGHV3-72,0.6725048006482605
AXL,0.6719773685572836
APOE,0.6713573257109524
ADAMTS12,0.6709775796338108
GPRIN3,0.6706766830967854
TNFRSF17,0.6702435557417508
CD2,0.6700719305220376
GIMAP4,0.6699975238860327
CCR2,0.6691503414898325
IGKV1-9,0.6691091916167567
MCOLN2,0.6681198893523138
IGLV4-69,0.6677319341281719
FCGR2B,0.6676253295017264
TGFB3,0.6665874535818371
TIMP3,0.6660992379776568
CD6,0.6652667937745745
LY96,0.665075168431876
LAT2,0.6649531379631898
TBC1D10C,0.6645593933902959
MGAT4A,0.6645574398712776
TLR4,0.664385269814117
PRRX1,0.6642121372381625
RNASE6,0.6640879634216357
MSR1,0.6638758313567823
LINC00996,0.6637819096595758
IRF4,0.6637516606011982
SIGLEC1,0.6634204540674904
CTLA4,0.6631043240171232
GIMAP2,0.6629065628688802
FNBP1,0.6628992771934706
CCL13,0.6625160650116345
IGHV1-24,0.6622201577178062
SLFN12L,0.6621759730736505
SCARF2,0.6620824284825172
P2RY8,0.6612917377181168
EMILIN2,0.6610385001242611
CIITA,0.6610304190414582
TPM1,0.6609243866176026
LAMA4,0.6608482419155766
TIMP2,0.6607681909963193
PTPRJ,0.6599317746495096
PSAP,0.6595681789408464
ITGA4,0.6594531603500315
IGLV8-61,0.6592650376553731
OLFML2B,0.6580863958356029
ADAMTS6,0.6570260133271766
IGHV3-30,0.6570098463873776
